"HHINCOME","FAMSIZE","NCHILD","YNGCH","SEX","AGE","MARST","RACE","RACED","SPEAKENG","RACWHT","EDUC","EDUCD","EMPSTAT","EMPSTATD","CLASSWKR","CLASSWKRD","OCC","WKSWORK1","UHRSWORK","WORKEDYR","INCWAGE","OCCSCORE","VETDISAB","PWSTATE2","PWCOUNTY"
115000,3,1,1,1,33,1,1,100,3,2,10,101,1,10,2,22,4700,52,45,3,75000,42,0,39,61
47400,3,1,1,1,25,1,1,100,3,2,6,63,1,10,2,22,6442,52,40,3,47000,33,0,39,61
82000,2,0,99,2,27,6,1,100,3,2,8,81,1,10,2,22,5110,52,37,3,40000,25,0,39,61
110000,1,0,99,1,26,6,1,100,3,2,6,65,1,10,2,22,9130,52,70,3,57000,25,0,39,0
77000,2,0,99,1,29,1,1,100,3,2,10,101,1,10,2,22,1021,52,45,3,70000,33,0,39,61
93000,1,0,99,1,25,6,1,100,3,2,10,101,1,10,2,22,7750,52,40,3,40000,23,1,39,61
93000,1,0,99,1,26,6,1,100,3,2,10,101,1,10,2,22,220,52,40,3,50000,42,0,39,61
53280,2,0,99,2,28,1,1,100,4,2,11,114,1,10,2,28,2205,52,20,3,9000,41,0,39,0
34000,1,0,99,1,30,6,1,100,3,2,0,2,1,10,1,13,440,52,55,3,0,42,0,39,61
30000,3,1,13,1,26,4,1,100,3,2,7,71,1,10,2,22,7010,52,40,3,30000,28,0,39,61
185000,4,2,1,1,35,1,1,100,3,2,10,101,1,10,2,22,750,52,40,3,142000,36,0,39,61
185000,4,2,1,2,34,1,1,100,3,2,10,101,1,10,2,22,5110,52,37,3,43000,25,0,39,61
602500,1,0,99,1,32,6,1,100,3,2,10,101,1,10,2,22,4920,52,40,3,25000,35,0,39,61
56000,2,0,99,2,25,1,1,100,3,2,10,101,1,10,2,23,5740,52,40,3,26000,22,0,39,61
